video_id,title,grupo
jz_As_nzSUA,5 Minutos sobre: Romantismo,3
U4VlAKE_fMg,5 Minutos sobre: Poesia Romantica #7,3
J7IysernjcQ,5 Minutos sobre: Realismo,3
Xeugx_L24V0,Esta rotina de 5 minutos vai salvar seu cabelo - Dicas de beleza,1
ZPmkNvM5yMQ,Maquiagem Rápida em 5 Minutos com Apenas 4 Itens! 💄✨ (Perfeita para o Dia a Dia!),8
cUNI6-3aYzg,Maquiagem Rápida e Fácil: Look Perfeito em 5 Minutos!✨,2
AMmh1siH4mY,"Transformação digital: Definição, importância, tecnologia, desafios | Gestão em 5 Minutos (G5M)",6
Xnp8g_DrKmM,BURACOS NEGROS - Um PORTAL Para Outra DIMENSÂO? O Que Se Sabe Até Agora? NADA PODE ESCAPAR!!,0
cnZs8nAkdrg,5 CURIOSIDADES SOBRE JÚPITER - O REI DOS PLANETAS - A TERRA ESTA PROTEGIDA?,4
nK_h08KTYlo,25 Curiosidades Aleatorias que você não sabia em 5 minutos!,2
Qs35xCxWwVI,25 Curiosidades em 5 minutos 1,3
N7UYvWskkcc,100 CURIOSIDADES EM 5 MINUTOS!?,7
wW6OACofjRM,50 Curiosidades em 5 Minutos,0
qUWs5sZE4xc,Por que Estudar o Iluminismo? Resumo Completo,0
6QOkLu4kOOI,Guerra Fria | Resumo Completo Em 6 Minutos,9
nTmWFWWbzkQ,O que é o Efeito Estufa?,7
XSHXOEoB8jk,As Causas do AQUECIMENTO GLOBAL,7
GgmlGTFrD3g,Aula Sociologia: O que é Cultura? - STOODI,0
MGALB4b3O5I,Cultura brasileira e culturas regionais | História 5º ano,0
N4AfqCBYHGo,5 REPERTÓRIOS infalíveis para discutir sobre CULTURA no ENEM,3
H3Mc4126A2s,Duas visões sobre cultura: Tylor e Boas,0
Y_befLlahys,O que tem na FUMAÇA do VATICANO? Nós testamos!,8
aw9lP3WAl2o,Aula de Ciências 7º ano - O MOVIMENTO DOS CONTINENTES,7
z2oF6Itzzyo,OS ATERRORIZANTES INSETOS GIGANTES – Como era a Terra NO PASSADO?,6
5tNRcuzc4YU,"Manus, a agente de IA chinesa capaz de fazer pesquisas e relatórios sem iguais",6
YZldtLXNfu8,Dashboard de controle de atendimentos de clínica médica,6
PMs7KDyRo6Y,Como fazer Formatação condicional na linha toda.,6
2d0waLuCjzI,COMO BAIXAR E INSTALAR O MICROSOFT OFFICE GRÁTIS OFICIAL COMPLETO 2025 ATUALIZADO,6
IEPemH_lwLM,Aluna de 15 anos é vítima de racismo em escola de elite de SP | Tá Na Hora,1
CANYM34cIuQ,PROGRAMAÇÃO para crianças 👦 Programação em blocos 💻 Parte 2,0
gj9R3nmB67Q,De Onde Vem o Vidro? #Episódio 19,8
pbb0jzXt_xA,Programação Orientada a Objetos | Explicação Simples,0
uAPy2sl-h7o,Adolescente é morta por colega dentro de sala de aula no interior de Minas,0
wbVPvVIepXw,"Malhar, jogar tênis e comer pizza: veja o que Leão XIV gostava de fazer antes de se tornar papa",8
2fcxZTyaREk,O olho e as suas partes - Visão - Os sentidos para crianças,8
arJVNwjhmRY,Teoria das Cordas explicada – Qual é a verdadeira natureza da realidade?,0
y-_Ly5Tqggc,O QUE É TRANSTORNO DO ESPECTRO AUTISTA?,1
eSrObbUHbTQ,Dislexia ou Dificuldade de Leitura?,0
qVHPy7Np9rE,INCLUSÃO E EDUCAÇÃO - UM VÍDEO IMPACTANTE | PAULO HENRIQUE,5
jizAto4-ofs,Por Dentro da Eletronorte: Visita Técnica Virtual - Usina Hidrelétrica Tucuruí,8
TUy6SC2MRig,Rotação e Translação da Terra - Os Movimentos do Planeta Terra,7
V3NMxTkR6n4,O DESCOBRIMENTO DO BRASIL DE UMA FORMA FÁCIL DE ENTENDER!,3
posTc56basM,3 técnicas indicadas por cientistas para qualquer pessoa melhorar nos estudos,1
UlY2deWLyw0,Nunca Desista! | Vídeo Motivacional | Filme - Arremessando Alto,2
xucKeCMFeWM,Gilson Telles - Outro Dia 1#,2
hO_tjm9i32g,Nunca deixe ninguém te dizer que não pode | À Procura da Felicidade,1
0YpxVIvQ-lU,"Ucrânia: Beleza, Cultura e Resistência em 5 Minutos!Descubra um país surpreendente!🇺🇦✨",0
DA6AbROn9Fo,Chuvas no litoral de São Paulo: ‘Foi igual a um filme de terror’,1
eMzxhNRQV4A,MINHA ROTINA CAPILAR SENDO CACHEADA | hidratação + finalização 💗,2
-UmOPQRpRIE,"PLÁSTICOS no MAR 🛍️🌊 Causas, consequências e soluções!",7
