video_id,title
jz_As_nzSUA,5 Minutos sobre: Romantismo
U4VlAKE_fMg,5 Minutos sobre: Poesia Romantica #7
J7IysernjcQ,5 Minutos sobre: Realismo
Xeugx_L24V0,Esta rotina de 5 minutos vai salvar seu cabelo - Dicas de beleza
ZPmkNvM5yMQ,Maquiagem Rápida em 5 Minutos com Apenas 4 Itens! 💄✨ (Perfeita para o Dia a Dia!)
cUNI6-3aYzg,Maquiagem Rápida e Fácil: Look Perfeito em 5 Minutos!✨
AMmh1siH4mY,"Transformação digital: Definição, importância, tecnologia, desafios | Gestão em 5 Minutos (G5M)"
Xnp8g_DrKmM,BURACOS NEGROS - Um PORTAL Para Outra DIMENSÂO? O Que Se Sabe Até Agora? NADA PODE ESCAPAR!!
cnZs8nAkdrg,5 CURIOSIDADES SOBRE JÚPITER - O REI DOS PLANETAS - A TERRA ESTA PROTEGIDA?
nK_h08KTYlo,25 Curiosidades Aleatorias que você não sabia em 5 minutos!
Qs35xCxWwVI,25 Curiosidades em 5 minutos 1
N7UYvWskkcc,100 CURIOSIDADES EM 5 MINUTOS!?
wW6OACofjRM,50 Curiosidades em 5 Minutos
qUWs5sZE4xc,Por que Estudar o Iluminismo? Resumo Completo
6QOkLu4kOOI,Guerra Fria | Resumo Completo Em 6 Minutos
nTmWFWWbzkQ,O que é o Efeito Estufa?
XSHXOEoB8jk,As Causas do AQUECIMENTO GLOBAL
GgmlGTFrD3g,Aula Sociologia: O que é Cultura? - STOODI
MGALB4b3O5I,Cultura brasileira e culturas regionais | História 5º ano
N4AfqCBYHGo,5 REPERTÓRIOS infalíveis para discutir sobre CULTURA no ENEM
H3Mc4126A2s,Duas visões sobre cultura: Tylor e Boas
Y_befLlahys,O que tem na FUMAÇA do VATICANO? Nós testamos!
aw9lP3WAl2o,Aula de Ciências 7º ano - O MOVIMENTO DOS CONTINENTES
z2oF6Itzzyo,OS ATERRORIZANTES INSETOS GIGANTES – Como era a Terra NO PASSADO?
5tNRcuzc4YU,"Manus, a agente de IA chinesa capaz de fazer pesquisas e relatórios sem iguais"
YZldtLXNfu8,Dashboard de controle de atendimentos de clínica médica
PMs7KDyRo6Y,Como fazer Formatação condicional na linha toda.
2d0waLuCjzI,COMO BAIXAR E INSTALAR O MICROSOFT OFFICE GRÁTIS OFICIAL COMPLETO 2025 ATUALIZADO
IEPemH_lwLM,Aluna de 15 anos é vítima de racismo em escola de elite de SP | Tá Na Hora
CANYM34cIuQ,PROGRAMAÇÃO para crianças 👦 Programação em blocos 💻 Parte 2
gj9R3nmB67Q,De Onde Vem o Vidro? #Episódio 19
pbb0jzXt_xA,Programação Orientada a Objetos | Explicação Simples
uAPy2sl-h7o,Adolescente é morta por colega dentro de sala de aula no interior de Minas
wbVPvVIepXw,"Malhar, jogar tênis e comer pizza: veja o que Leão XIV gostava de fazer antes de se tornar papa"
2fcxZTyaREk,O olho e as suas partes - Visão - Os sentidos para crianças
arJVNwjhmRY,Teoria das Cordas explicada – Qual é a verdadeira natureza da realidade?
y-_Ly5Tqggc,O QUE É TRANSTORNO DO ESPECTRO AUTISTA?
eSrObbUHbTQ,Dislexia ou Dificuldade de Leitura?
qVHPy7Np9rE,INCLUSÃO E EDUCAÇÃO - UM VÍDEO IMPACTANTE | PAULO HENRIQUE
jizAto4-ofs,Por Dentro da Eletronorte: Visita Técnica Virtual - Usina Hidrelétrica Tucuruí
TUy6SC2MRig,Rotação e Translação da Terra - Os Movimentos do Planeta Terra
V3NMxTkR6n4,O DESCOBRIMENTO DO BRASIL DE UMA FORMA FÁCIL DE ENTENDER!
posTc56basM,3 técnicas indicadas por cientistas para qualquer pessoa melhorar nos estudos
UlY2deWLyw0,Nunca Desista! | Vídeo Motivacional | Filme - Arremessando Alto
xucKeCMFeWM,Gilson Telles - Outro Dia 1#
hO_tjm9i32g,Nunca deixe ninguém te dizer que não pode | À Procura da Felicidade
0YpxVIvQ-lU,"Ucrânia: Beleza, Cultura e Resistência em 5 Minutos!Descubra um país surpreendente!🇺🇦✨"
DA6AbROn9Fo,Chuvas no litoral de São Paulo: ‘Foi igual a um filme de terror’
eMzxhNRQV4A,MINHA ROTINA CAPILAR SENDO CACHEADA | hidratação + finalização 💗
-UmOPQRpRIE,"PLÁSTICOS no MAR 🛍️🌊 Causas, consequências e soluções!"
